Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,total_duration,total_pages,admin_duration_ratio,informational_duration_ratio,product_duration_ratio,admin_pages_ratio,informational_pages_ratio,product_pages_ratio,admin_duration_per_page,informational_duration_per_page,product_duration_per_page,avg_duration_per_page,is_q4,quarter,PageValues_x_ProductRelated,SpecialDay_x_PageValues,BounceRates_x_ExitRates
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,1,1,1,1,2,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.9999990000010001,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.04000000000000001
0,0.0,0,0.0,2,64.0,0.0,0.1,0.0,0.0,2,2,2,1,2,2,0,0,64.0,2,0.0,0.0,0.9999999843750003,0.0,0.0,0.99999950000025,0.0,0.0,31.999984000008,31.999984000008,0,,0.0,0.0,0.0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,4,1,9,3,2,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.9999990000010001,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.04000000000000001
0,0.0,0,0.0,2,2.666666667,0.05,0.14,0.0,0.0,2,3,2,2,4,2,0,0,2.666666667,2,0.0,0.0,0.9999996250001406,0.0,0.0,0.99999950000025,0.0,0.0,1.3333326668336665,1.3333326668336665,0,,0.0,0.0,0.007000000000000001
0,0.0,0,0.0,10,627.5,0.02,0.05,0.0,0.0,2,3,3,1,4,2,1,0,627.5,10,0.0,0.0,0.9999999984063745,0.0,0.0,0.99999990000001,0.0,0.0,62.749993725000635,62.749993725000635,0,,0.0,0.0,0.001
0,0.0,0,0.0,19,154.2166667,0.015789474,0.024561404,0.0,0.0,2,2,2,1,3,2,0,0,154.2166667,19,0.0,0.0,0.9999999935156166,0.0,0.0,0.9999999473684238,0.0,0.0,8.116666241228092,8.116666241228092,0,,0.0,0.0,0.000387811649861496
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,2,2,4,3,3,2,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.9999990000010001,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.04000000000000001
1,0.0,0,0.0,0,0.0,0.2,0.2,0.0,0.0,2,1,2,1,5,2,1,0,0.0,1,0.0,0.0,0.0,0.9999990000010001,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.04000000000000001
0,0.0,0,0.0,2,37.0,0.0,0.1,0.0,0.8,2,2,2,2,3,2,0,0,37.0,2,0.0,0.0,0.9999999729729737,0.0,0.0,0.99999950000025,0.0,0.0,18.499990750004624,18.499990750004624,0,,0.0,0.0,0.0
0,0.0,0,0.0,3,738.0,0.0,0.022222222,0.0,0.4,2,2,4,1,2,2,0,0,738.0,3,0.0,0.0,0.9999999986449865,0.0,0.0,0.9999996666667778,0.0,0.0,245.99991800002732,245.99991800002732,0,,0.0,0.0,0.0
0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,2,1,1,3,3,2,0,0,395.0,3,0.0,0.0,0.9999999974683544,0.0,0.0,0.9999996666667778,0.0,0.0,131.6666227777924,131.6666227777924,0,,0.0,0.0,0.0
0,0.0,0,0.0,16,407.75,0.01875,0.025833333,0.0,0.4,2,1,1,4,3,2,0,0,407.75,16,0.0,0.0,0.9999999975475169,0.0,0.0,0.9999999375000038,0.0,0.0,25.48437340722666,25.48437340722666,0,,0.0,0.0,0.00048437499374999997
0,0.0,0,0.0,7,280.5,0.0,0.028571429,0.0,0.0,2,1,1,1,3,2,0,0,280.5,7,0.0,0.0,0.9999999964349376,0.0,0.0,0.9999998571428775,0.0,0.0,40.07142284693959,40.07142284693959,0,,0.0,0.0,0.0
0,0.0,0,0.0,6,98.0,0.0,0.066666667,0.0,0.0,2,2,5,1,3,2,0,0,98.0,6,0.0,0.0,0.9999999897959185,0.0,0.0,0.9999998333333611,0.0,0.0,16.333330611111563,16.333330611111563,0,,0.0,0.0,0.0
0,0.0,0,0.0,2,68.0,0.0,0.1,0.0,0.0,2,3,2,3,3,2,0,0,68.0,2,0.0,0.0,0.9999999852941179,0.0,0.0,0.99999950000025,0.0,0.0,33.9999830000085,33.9999830000085,0,,0.0,0.0,0.0
2,53.0,0,0.0,23,1668.285119,0.008333333,0.016312636,0.0,0.0,2,1,1,9,3,2,0,0,1721.285119,25,0.030790947638006654,0.0,0.969209051781032,0.07999999680000013,0.0,0.9199999632000014,26.499986750006624,0.0,72.5341324550377,68.85140200594391,0,,0.0,0.0,0.000135938627895788
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,1,1,4,3,2,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.9999990000010001,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.04000000000000001
0,0.0,0,0.0,13,334.9666667,0.0,0.007692308,0.0,0.0,2,1,1,1,4,2,1,0,334.9666667,13,0.0,0.0,0.9999999970146284,0.0,0.0,0.9999999230769291,0.0,0.0,25.76666468717964,25.76666468717964,0,,0.0,0.0,0.0
0,0.0,0,0.0,2,32.0,0.0,0.1,0.0,0.0,2,2,2,1,3,2,0,0,32.0,2,0.0,0.0,0.9999999687500011,0.0,0.0,0.99999950000025,0.0,0.0,15.999992000004,15.999992000004,0,,0.0,0.0,0.0
0,0.0,0,0.0,20,2981.166667,0.0,0.01,0.0,0.0,2,2,4,4,4,2,0,0,2981.166667,20,0.0,0.0,0.9999999996645609,0.0,0.0,0.9999999500000024,0.0,0.0,149.0583258970837,149.0583258970837,0,,0.0,0.0,0.0
0,0.0,0,0.0,8,136.1666667,0.0,0.008333333,0.0,1.0,2,2,2,5,1,2,1,0,136.1666667,8,0.0,0.0,0.9999999926560589,0.0,0.0,0.9999998750000157,0.0,0.0,17.0208312098961,17.0208312098961,0,,0.0,0.0,0.0
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,2,3,3,1,3,2,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.99999950000025,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.04000000000000001
0,0.0,0,0.0,3,105.0,0.0,0.033333333,0.0,0.0,2,3,2,1,5,2,0,0,105.0,3,0.0,0.0,0.9999999904761906,0.0,0.0,0.9999996666667778,0.0,0.0,34.99998833333722,34.99998833333722,0,,0.0,0.0,0.0
0,0.0,0,0.0,2,15.0,0.0,0.1,0.0,0.8,2,2,4,1,3,2,0,0,15.0,2,0.0,0.0,0.9999999333333378,0.0,0.0,0.99999950000025,0.0,0.0,7.499996250001875,7.499996250001875,0,,0.0,0.0,0.0
